[2025-11-17 17:22:53] === AUDITORÍA AVANZADA - TESTS Y DUMMIES ===
[2025-11-17 17:22:53] Iniciada: 11/17/2025 17:22:53
[2025-11-17 17:22:53] 
[2025-11-17 17:22:53] 1. 🧪 DETECCIÓN DE ARCHIVOS DE TEST:
[2025-11-17 17:22:53]    🔍 Buscando: Test Files
[2025-11-17 17:23:57]      ✅ primitive.test.ts - 11.93 KB
[2025-11-17 17:23:57]      ✅ promise.test.ts - 2.43 KB
[2025-11-17 17:23:57]      ✅ readonly.test.ts - 7.17 KB
[2025-11-17 17:23:57]      ✅ record.test.ts - 3.65 KB
[2025-11-17 17:23:57]      ✅ recursive.test.ts - 3.85 KB
[2025-11-17 17:23:57]      ✅ refine.test.ts - 7.98 KB
[2025-11-17 17:23:57]      ✅ safeparse.test.ts - 0.61 KB
[2025-11-17 17:23:57]      ✅ set.test.ts - 4.68 KB
[2025-11-17 17:23:57]      ✅ standard-schema.test.ts - 2.53 KB
[2025-11-17 17:23:57]      ✅ string.test.ts - 64.09 KB
[2025-11-17 17:23:57]      ✅ transformer.test.ts - 5.55 KB
[2025-11-17 17:23:57]      ✅ tuple.test.ts - 2.63 KB
[2025-11-17 17:23:57]      ✅ unions.test.ts - 1.5 KB
[2025-11-17 17:23:57]      ✅ validations.test.ts - 3.74 KB
[2025-11-17 17:23:57]      ✅ void.test.ts - 0.34 KB
[2025-11-17 17:23:58]      ✅ anyunknown.test.ts - 0.62 KB
[2025-11-17 17:23:58]      ✅ array.test.ts - 7.08 KB
[2025-11-17 17:23:58]      ✅ assignability.test.ts - 6.63 KB
[2025-11-17 17:23:58]      ✅ async-parsing.test.ts - 12.02 KB
[2025-11-17 17:23:58]      ✅ async-refinements.test.ts - 1.82 KB
[2025-11-17 17:23:58]      ✅ base.test.ts - 0.17 KB
[2025-11-17 17:23:58]      ✅ bigint.test.ts - 1.91 KB
[2025-11-17 17:23:58]      ✅ brand.test.ts - 2.15 KB
[2025-11-17 17:23:58]      ✅ catch.test.ts - 7.65 KB
[2025-11-17 17:23:58]      ✅ coalesce.test.ts - 0.73 KB
[2025-11-17 17:23:58]      ✅ codec-examples.test.ts - 18.58 KB
[2025-11-17 17:23:58]      ✅ codec.test.ts - 18.41 KB
[2025-11-17 17:23:58]      ✅ coerce.test.ts - 7.55 KB
[2025-11-17 17:23:58]      ✅ continuability.test.ts - 7.34 KB
[2025-11-17 17:23:58]      ✅ custom.test.ts - 1.19 KB
[2025-11-17 17:23:58]      ✅ date.test.ts - 0.94 KB
[2025-11-17 17:23:58]      ✅ datetime.test.ts - 11.65 KB
[2025-11-17 17:23:58]      ✅ default.test.ts - 9.01 KB
[2025-11-17 17:23:58]      ✅ description.test.ts - 1.26 KB
[2025-11-17 17:23:58]      ✅ discriminated-unions.test.ts - 17.25 KB
[2025-11-17 17:23:58]      ✅ enum.test.ts - 8.29 KB
[2025-11-17 17:23:59]      ✅ error-utils.test.ts - 13.42 KB
[2025-11-17 17:23:59]      ✅ error.test.ts - 19.04 KB
[2025-11-17 17:23:59]      ✅ file.test.ts - 2.58 KB
[2025-11-17 17:23:59]      ✅ firstparty.test.ts - 2.97 KB
[2025-11-17 17:23:59]      ✅ function.test.ts - 6.81 KB
[2025-11-17 17:23:59]      ✅ generics.test.ts - 2.11 KB
[2025-11-17 17:23:59]      ✅ hash.test.ts - 3.13 KB
[2025-11-17 17:23:59]      ✅ index.test.ts - 27.43 KB
[2025-11-17 17:23:59]      ✅ instanceof.test.ts - 1.03 KB
[2025-11-17 17:23:59]      ✅ intersection.test.ts - 4.65 KB
[2025-11-17 17:23:59]      ✅ json.test.ts - 3.23 KB
[2025-11-17 17:23:59]      ✅ lazy.test.ts - 4.64 KB
[2025-11-17 17:23:59]      ✅ literal.test.ts - 3.02 KB
[2025-11-17 17:23:59]      ✅ map.test.ts - 4.7 KB
[2025-11-17 17:23:59]      ✅ nan.test.ts - 0.63 KB
[2025-11-17 17:23:59]      ✅ nested-refine.test.ts - 3.54 KB
[2025-11-17 17:23:59]      ✅ nonoptional.test.ts - 2.77 KB
[2025-11-17 17:23:59]      ✅ nullable.test.ts - 0.58 KB
[2025-11-17 17:23:59]      ✅ number.test.ts - 8.44 KB
[2025-11-17 17:23:59]      ✅ object.test.ts - 16.91 KB
[2025-11-17 17:23:59]      ✅ optional.test.ts - 4.35 KB
[2025-11-17 17:24:00]      ✅ partial.test.ts - 10.1 KB
[2025-11-17 17:24:00]      ✅ pickomit.test.ts - 4.39 KB
[2025-11-17 17:24:00]      ✅ pipe.test.ts - 2.28 KB
[2025-11-17 17:24:00]      ✅ prefault.test.ts - 2.01 KB
[2025-11-17 17:24:00]      ✅ preprocess.test.ts - 6.37 KB
[2025-11-17 17:24:00]      ✅ primitive.test.ts - 7.47 KB
[2025-11-17 17:24:00]      ✅ promise.test.ts - 2.26 KB
[2025-11-17 17:24:00]      ✅ prototypes.test.ts - 0.49 KB
[2025-11-17 17:24:00]      ✅ readonly.test.ts - 11.5 KB
[2025-11-17 17:24:00]      ✅ record.test.ts - 8.17 KB
[2025-11-17 17:24:00]      ✅ recursive-types.test.ts - 12.34 KB
[2025-11-17 17:24:00]      ✅ refine.test.ts - 16.3 KB
[2025-11-17 17:24:00]      ✅ registries.test.ts - 5.86 KB
[2025-11-17 17:24:00]      ✅ set.test.ts - 5.49 KB
[2025-11-17 17:24:00]      ✅ standard-schema.test.ts - 1.34 KB
[2025-11-17 17:24:00]      ✅ string-formats.test.ts - 3.61 KB
[2025-11-17 17:24:00]      ✅ string.test.ts - 71.79 KB
[2025-11-17 17:24:00]      ✅ stringbool.test.ts - 3.45 KB
[2025-11-17 17:24:00]      ✅ template-literal.test.ts - 34.67 KB
[2025-11-17 17:24:00]      ✅ to-json-schema.test.ts - 66.58 KB
[2025-11-17 17:24:01]      ✅ transform.test.ts - 8.1 KB
[2025-11-17 17:24:01]      ✅ tuple.test.ts - 4.59 KB
[2025-11-17 17:24:01]      ✅ union.test.ts - 4.53 KB
[2025-11-17 17:24:01]      ✅ validations.test.ts - 6.58 KB
[2025-11-17 17:24:01]      ✅ void.test.ts - 0.3 KB
[2025-11-17 17:24:01]      ✅ be.test.ts - 3.69 KB
[2025-11-17 17:24:01]      ✅ en.test.ts - 0.82 KB
[2025-11-17 17:24:01]      ✅ es.test.ts - 6.75 KB
[2025-11-17 17:24:01]      ✅ ru.test.ts - 3.67 KB
[2025-11-17 17:24:01]      ✅ tr.test.ts - 3.26 KB
[2025-11-17 17:24:01]      ✅ extend.test.ts - 0.41 KB
[2025-11-17 17:24:01]      ✅ index.test.ts - 1.15 KB
[2025-11-17 17:24:01]      ✅ assignability.test.ts - 3.22 KB
[2025-11-17 17:24:01]      ✅ brand.test.ts - 1.8 KB
[2025-11-17 17:24:01]      ✅ checks.test.ts - 3.98 KB
[2025-11-17 17:24:01]      ✅ codec.test.ts - 17.63 KB
[2025-11-17 17:24:01]      ✅ computed.test.ts - 1.14 KB
[2025-11-17 17:24:01]      ✅ error.test.ts - 0.63 KB
[2025-11-17 17:24:01]      ✅ functions.test.ts - 1.15 KB
[2025-11-17 17:24:01]      ✅ index.test.ts - 28.95 KB
[2025-11-17 17:24:02]      ✅ number.test.ts - 3.58 KB
[2025-11-17 17:24:02]      ✅ object.test.ts - 5.6 KB
[2025-11-17 17:24:02]      ✅ prototypes.test.ts - 0.85 KB
[2025-11-17 17:24:02]      ✅ recursive-types.test.ts - 5.5 KB
[2025-11-17 17:24:02]      ✅ string.test.ts - 11.7 KB
[2025-11-17 17:25:06]      ✅ alert-dialog.test.tsx - 2.01 KB
[2025-11-17 17:26:42]      ✅ renderer.spec.js - 17.43 KB
[2025-11-17 17:26:42]      ✅ demo-todo-app.spec.js - 15.47 KB
[2025-11-17 17:27:28]      ✅ decode.spec.ts - 11.41 KB
[2025-11-17 17:27:29]      ✅ encode.spec.ts - 3.24 KB
[2025-11-17 17:27:29]      ✅ escape.spec.ts - 0.49 KB
[2025-11-17 17:27:29]      ✅ index.spec.ts - 4.26 KB
[2025-11-17 17:27:29]      ✅ plainer.spec.ts - 0.46 KB
[2025-11-17 17:27:29]      ✅ index.spec.ts - 9.9 KB
[2025-11-17 17:27:29]      ✅ issue-21.spec.ts - 1.19 KB
[2025-11-17 17:28:36]    🔍 Buscando: Testing Config
[2025-11-17 17:29:10]      ✅ vitest.config.ts - 0.14 KB
[2025-11-17 17:29:10]      ✅ vitest.config.ts - 0.24 KB
[2025-11-17 17:29:59]      ✅ karma.conf.js - 1.7 KB
[2025-11-17 17:29:59]      ✅ karma.conf.js - 1.7 KB
[2025-11-17 17:29:59]      ✅ karma.conf.js - 1.7 KB
[2025-11-17 17:29:59]      ✅ karma.conf.js - 1.7 KB
[2025-11-17 17:29:59]    🔍 Buscando: Test Directories
[2025-11-17 17:31:29]    📊 RESUMEN TESTS: 176 archivos encontrados
[2025-11-17 17:31:29]      Test Files: 170 archivos
[2025-11-17 17:31:29]      Testing Config: 6 archivos
[2025-11-17 17:31:29] 
2. 🎭 DETECCIÓN DE ARCHIVOS DUMMY/MOCKS:
[2025-11-17 17:31:29]    🔍 Buscando: Fixture Files
[2025-11-17 17:33:17]    🔍 Buscando: Sample Data
[2025-11-17 17:36:14]    🔍 Buscando: Mock Files
[2025-11-17 17:38:40]    🔍 Buscando: Demo Files
[2025-11-17 17:40:38]    ℹ️  No se encontraron archivos dummy/mocks
[2025-11-17 17:40:38] 
3. 📦 DEPENDENCIAS DE TESTING:
[2025-11-17 17:40:38]    ✅ package.json cargado
[2025-11-17 17:40:38]    ❌ cypress - FALTANTE - Testing E2E
[2025-11-17 17:40:38]    ❌ @testing-library/react - FALTANTE - Testing React
[2025-11-17 17:40:38]    ❌ jest - FALTANTE - Framework de testing
[2025-11-17 17:40:38]    ❌ @testing-library/jest-dom - FALTANTE - Jest DOM
[2025-11-17 17:40:38]    ❌ chai - FALTANTE - Assertions
[2025-11-17 17:40:38]    ✅ vitest - ^2.1.4 - Testing con Vite
[2025-11-17 17:40:38]    ❌ mocha - FALTANTE - Framework testing
[2025-11-17 17:40:39]    ❌ @types/jest - FALTANTE - Tipos para Jest
[2025-11-17 17:40:39]    ❌ sinon - FALTANTE - Mocks y stubs
[2025-11-17 17:40:39]    📊 Dependencias de testing encontradas: 1/9
[2025-11-17 17:40:39]    🚀 SCRIPTS DE TESTING:
[2025-11-17 17:40:39]      ▶️  test: vitest run
[2025-11-17 17:40:39] 
4. ⚙️ CONFIGURACIONES DE TESTING:
[2025-11-17 17:40:39]    ✅ vitest.config.ts
[2025-11-17 17:40:39] 
5. 📈 ANÁLISIS DE COBERTURA:
[2025-11-17 17:40:39] 
=== RESUMEN FINAL TESTS/DUMMIES ===
[2025-11-17 17:40:39] 🧪 ARCHIVOS DE TEST: 176
[2025-11-17 17:40:39]    Test Files: 170 archivos
[2025-11-17 17:40:39]    Testing Config: 6 archivos
[2025-11-17 17:40:39] 
=== AUDITORÍA COMPLETADA ===
[2025-11-17 17:40:39] Log guardado en: D:\papeleracatalogo\auditoria_avanzada_20251117_172253.txt
